trade_date,missing_group,missing_reason,effective_end_date,source_table,audit_version
2000-06-27,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-06-28,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-06-29,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-06-30,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-03,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-04,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-05,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-06,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-07,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-10,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-11,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-12,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-13,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-14,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-17,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-18,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-19,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-20,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-21,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-24,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-25,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-26,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-27,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-28,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-07-31,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
2000-08-01,snap_missing,ROTATION_SNAPSHOT_MISSING,2010-12-31,cn_rotation_entry_snap_t/cn_rotation_holding_snap_t/cn_rotation_exit_snap_t,v8_rotation_audit_v3_detail
