mainline_id,total_dates,tc_dates,dw_dates,tc_windows,persistence_label
850822.SI,64,0,54,0,BACKGROUND_ONLY_AFTER_POOL
850823.SI,40,0,32,0,BACKGROUND_ONLY_AFTER_POOL
850831.SI,68,0,54,0,BACKGROUND_ONLY_AFTER_POOL
850832.SI,71,1,62,1,PRECURSOR_THEN_SINGLE_COLLAPSE
850833.SI,37,0,31,0,BACKGROUND_ONLY_AFTER_POOL
850841.SI,69,0,63,0,BACKGROUND_ONLY_AFTER_POOL
850853.SI,11,0,11,0,BACKGROUND_ONLY_AFTER_POOL
850854.SI,75,0,44,0,BACKGROUND_ONLY_AFTER_POOL
850861.SI,60,0,33,0,BACKGROUND_ONLY_AFTER_POOL
850912.SI,28,0,28,0,BACKGROUND_ONLY_AFTER_POOL
850913.SI,3,0,3,0,BACKGROUND_ONLY_AFTER_POOL
850922.SI,73,1,49,1,PRECURSOR_THEN_SINGLE_COLLAPSE
850923.SI,75,0,29,0,BACKGROUND_ONLY_AFTER_POOL
850924.SI,40,0,25,0,BACKGROUND_ONLY_AFTER_POOL
850925.SI,75,0,42,0,BACKGROUND_ONLY_AFTER_POOL
850926.SI,75,0,52,0,BACKGROUND_ONLY_AFTER_POOL
850935.SI,5,0,4,0,BACKGROUND_ONLY_AFTER_POOL
850936.SI,33,0,16,0,BACKGROUND_ONLY_AFTER_POOL
850952.SI,18,0,18,0,BACKGROUND_ONLY_AFTER_POOL
851024.SI,70,0,68,0,BACKGROUND_ONLY_AFTER_POOL
851025.SI,44,0,44,0,BACKGROUND_ONLY_AFTER_POOL
851026.SI,69,0,54,0,BACKGROUND_ONLY_AFTER_POOL
851027.SI,57,0,56,0,BACKGROUND_ONLY_AFTER_POOL
851041.SI,75,0,35,0,BACKGROUND_ONLY_AFTER_POOL
851042.SI,51,0,37,0,BACKGROUND_ONLY_AFTER_POOL
851112.SI,58,0,58,0,BACKGROUND_ONLY_AFTER_POOL
851116.SI,37,0,37,0,BACKGROUND_ONLY_AFTER_POOL
851122.SI,62,0,59,0,BACKGROUND_ONLY_AFTER_POOL
851131.SI,3,0,2,0,BACKGROUND_ONLY_AFTER_POOL
851141.SI,31,0,31,0,BACKGROUND_ONLY_AFTER_POOL
851151.SI,41,0,36,0,BACKGROUND_ONLY_AFTER_POOL
851161.SI,66,0,66,0,BACKGROUND_ONLY_AFTER_POOL
851232.SI,48,0,48,0,BACKGROUND_ONLY_AFTER_POOL
851233.SI,20,0,16,0,BACKGROUND_ONLY_AFTER_POOL
851241.SI,54,0,52,0,BACKGROUND_ONLY_AFTER_POOL
851242.SI,20,0,16,0,BACKGROUND_ONLY_AFTER_POOL
851243.SI,31,0,30,0,BACKGROUND_ONLY_AFTER_POOL
851246.SI,9,0,8,0,BACKGROUND_ONLY_AFTER_POOL
851247.SI,34,0,34,0,BACKGROUND_ONLY_AFTER_POOL
851251.SI,64,0,64,0,BACKGROUND_ONLY_AFTER_POOL
851271.SI,25,0,25,0,BACKGROUND_ONLY_AFTER_POOL
851281.SI,56,0,49,0,BACKGROUND_ONLY_AFTER_POOL
