trade_date,tracked_mainline_count,danger_ratio,tc_ratio,diffusion_warning_ratio,low_diffusion_background_ratio,market_regime,p12c_noise_flag,p12c_tc_sparse_flag,p12c_meta_comment
2025-09-29,139,69.06,0.00,69.06,30.94,RANGE_CHOP_MID,YES,YES,danger_ratio=69.1% > 50.0%; tc_ratio=0.00% < 1.0%
2025-09-30,140,90.71,0.00,90.71,9.29,RANGE_CHOP_HIGH,YES,YES,danger_ratio=90.7% > 50.0%; tc_ratio=0.00% < 1.0%
2025-10-09,149,79.19,0.00,79.19,20.81,RANGE_CHOP_HIGH,YES,YES,danger_ratio=79.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-10-10,147,82.99,0.00,82.99,17.01,RANGE_CHOP_HIGH,YES,YES,danger_ratio=83.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-10-13,149,89.93,0.00,89.93,10.07,RANGE_CHOP_HIGH,YES,YES,danger_ratio=89.9% > 50.0%; tc_ratio=0.00% < 1.0%
2025-10-14,150,90.00,0.00,90.00,10.00,RANGE_CHOP_HIGH,YES,YES,danger_ratio=90.0% > 50.0%; tc_ratio=0.00% < 1.0%
2025-10-15,152,64.47,0.00,64.47,35.53,RANGE_CHOP_MID,YES,YES,danger_ratio=64.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-10-16,151,99.34,0.00,99.34,0.66,DEFENSIVE_SHIFT,YES,YES,danger_ratio=99.3% > 50.0%; tc_ratio=0.00% < 1.0%
2025-10-17,156,95.51,0.00,95.51,4.49,DEFENSIVE_SHIFT,YES,YES,danger_ratio=95.5% > 50.0%; tc_ratio=0.00% < 1.0%
2025-10-20,148,64.19,0.00,64.19,35.81,RANGE_CHOP_MID,YES,YES,danger_ratio=64.2% > 50.0%; tc_ratio=0.00% < 1.0%
2025-10-21,150,71.33,0.00,71.33,28.67,RANGE_CHOP_HIGH,YES,YES,danger_ratio=71.3% > 50.0%; tc_ratio=0.00% < 1.0%
