asof_date,src,symbol,v8_local_industry_id,v8_local_industry_name,v7_sw_l1_code,v7_sw_l1_name,mapping_type,manual_review_flag,jaccard_score,coverage_vs_v8,coverage_vs_v7,decision_reason
2026-03-30,SW2014,000543,851611.SI,851611.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.205882,1.0,0.205882,high_v8_coverage_single_parent
2026-03-30,SW2014,000544,859712.SI,859712.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000545,850326.SI,850326.SI,801030.SI,化工,ONE_TO_ONE,0,0.013187,1.0,0.013187,high_v8_coverage_single_parent
2026-03-30,SW2014,000546,859713.SI,859713.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000547,857451.SI,857451.SI,801740.SI,国防军工,ONE_TO_ONE,0,0.42,0.984375,0.422819,high_v8_coverage_single_parent
2026-03-30,SW2014,000548,851731.SI,851731.SI,801170.SI,交通运输,ONE_TO_ONE,0,0.138889,1.0,0.138889,high_v8_coverage_single_parent
2026-03-30,SW2014,000550,850912.SI,850912.SI,801880.SI,汽车,ONE_TO_ONE,0,0.024691,1.0,0.024691,high_v8_coverage_single_parent
2026-03-30,SW2014,000551,859721.SI,859721.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000552,859511.SI,859511.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000553,850333.SI,850333.SI,801030.SI,化工,ONE_TO_ONE,0,0.065934,1.0,0.065934,high_v8_coverage_single_parent
2026-03-30,SW2014,000554,859632.SI,859632.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000555,852226.SI,852226.SI,801750.SI,计算机,ONE_TO_ONE,0,0.313984,1.0,0.313984,high_v8_coverage_single_parent
2026-03-30,SW2014,000557,851771.SI,851771.SI,801170.SI,交通运输,ONE_TO_ONE,0,0.048611,1.0,0.048611,high_v8_coverage_single_parent
2026-03-30,SW2014,000558,852112.SI,852112.SI,801210.SI,休闲服务,ONE_TO_ONE,0,0.139785,1.0,0.139785,high_v8_coverage_single_parent
2026-03-30,SW2014,000559,850923.SI,850923.SI,801880.SI,汽车,ONE_TO_ONE,0,0.277778,1.0,0.277778,high_v8_coverage_single_parent
2026-03-30,SW2014,000561,857421.SI,857421.SI,801740.SI,国防军工,ONE_TO_ONE,0,0.308725,1.0,0.308725,high_v8_coverage_single_parent
2026-03-30,SW2014,000564,852031.SI,852031.SI,801200.SI,商业贸易,ONE_TO_ONE,0,0.191304,1.0,0.191304,high_v8_coverage_single_parent
2026-03-30,SW2014,000565,850335.SI,850335.SI,801030.SI,化工,ONE_TO_ONE,0,0.035165,1.0,0.035165,high_v8_coverage_single_parent
2026-03-30,SW2014,000566,851512.SI,851512.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.204934,1.0,0.204934,high_v8_coverage_single_parent
2026-03-30,SW2014,000567,851927.SI,851927.SI,801790.SI,非银金融,ONE_TO_ONE,0,0.042105,1.0,0.042105,high_v8_coverage_single_parent
2026-03-30,SW2014,000568,851251.SI,851251.SI,801120.SI,食品饮料,ONE_TO_ONE,0,0.155039,1.0,0.155039,high_v8_coverage_single_parent
2026-03-30,SW2014,000570,850923.SI,850923.SI,801880.SI,汽车,ONE_TO_ONE,0,0.277778,1.0,0.277778,high_v8_coverage_single_parent
2026-03-30,SW2014,000571,859511.SI,859511.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000572,850952.SI,850952.SI,801880.SI,汽车,ONE_TO_ONE,0,0.015432,1.0,0.015432,high_v8_coverage_single_parent
2026-03-30,SW2014,000573,851811.SI,851811.SI,801180.SI,房地产,ONE_TO_ONE,0,0.566667,0.985507,0.571429,high_v8_coverage_single_parent
2026-03-30,SW2014,000576,857431.SI,857431.SI,801740.SI,国防军工,ONE_TO_ONE,0,0.080537,1.0,0.080537,high_v8_coverage_single_parent
2026-03-30,SW2014,000581,850923.SI,850923.SI,801880.SI,汽车,ONE_TO_ONE,0,0.277778,1.0,0.277778,high_v8_coverage_single_parent
2026-03-30,SW2014,000582,851711.SI,851711.SI,801170.SI,交通运输,ONE_TO_ONE,0,0.111111,1.0,0.111111,high_v8_coverage_single_parent
2026-03-30,SW2014,000586,851025.SI,851025.SI,801770.SI,通信,ONE_TO_ONE,0,0.077465,1.0,0.077465,high_v8_coverage_single_parent
2026-03-30,SW2014,000589,850924.SI,850924.SI,801880.SI,汽车,ONE_TO_ONE,0,0.064815,1.0,0.064815,high_v8_coverage_single_parent
2026-03-30,SW2014,000590,851521.SI,851521.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.127135,1.0,0.127135,high_v8_coverage_single_parent
2026-03-30,SW2014,000591,851616.SI,851616.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.095588,1.0,0.095588,high_v8_coverage_single_parent
2026-03-30,SW2014,000593,851631.SI,851631.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.213235,1.0,0.213235,high_v8_coverage_single_parent
2026-03-30,SW2014,000595,850751.SI,850751.SI,801890.SI,机械设备,ONE_TO_ONE,0,0.116393,1.0,0.116393,high_v8_coverage_single_parent
2026-03-30,SW2014,000596,851251.SI,851251.SI,801120.SI,食品饮料,ONE_TO_ONE,0,0.155039,1.0,0.155039,high_v8_coverage_single_parent
2026-03-30,SW2014,000597,851512.SI,851512.SI,801150.SI,医药生物,ONE_TO_ONE,0,0.204934,1.0,0.204934,high_v8_coverage_single_parent
2026-03-30,SW2014,000598,859712.SI,859712.SI,,,UNMATCHED,1,0.0,0.0,0.0,no_shared_symbols
2026-03-30,SW2014,000599,850924.SI,850924.SI,801880.SI,汽车,ONE_TO_ONE,0,0.064815,1.0,0.064815,high_v8_coverage_single_parent
2026-03-30,SW2014,000600,851611.SI,851611.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.205882,1.0,0.205882,high_v8_coverage_single_parent
2026-03-30,SW2014,000601,851612.SI,851612.SI,801160.SI,公用事业,ONE_TO_ONE,0,0.080882,1.0,0.080882,high_v8_coverage_single_parent
2026-03-30,SW2014,000603,850553.SI,850553.SI,801050.SI,有色金属,ONE_TO_ONE,0,0.082278,1.0,0.082278,high_v8_coverage_single_parent
